Plate ID,NET_Run9_BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan ID,11/21/25 11:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Result ID,11/21/25 11:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Result Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Version,5.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Name,Target 1 + 2 + 3 + 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,96-Well Greiner™ 675090 Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Start/End Times,11/21/2025 11:39:21 AM - 11/21/2025 11:43:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Start Time,11/21/25 11:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User ID,Sara Versales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Row,Column,X Position (mm),Y Positioin (mm),Z Position (um),Total Count,% Bright Field,% MPO,% CitH3,% DAPI,% Bright Field (only),% MPO (only),% CitH3 (only),% DAPI (only),Bright Field Count,MPO Count,CitH3 Count,DAPI Count,Bright Field Count (only),MPO Count (only),CitH3 Count (only),DAPI Count (only),AVG Bright Field Mean Intensity,SD of Bright Field Mean Intensity,AVG Bright Field Integrated Intensity,SD of Bright Field Integrated Intensity,AVG MPO Mean Intensity,SD of MPO Mean Intensity,AVG MPO Integrated Intensity,SD of MPO Integrated Intensity,AVG CitH3 Mean Intensity,SD of CitH3 Mean Intensity,AVG CitH3 Integrated Intensity,SD of CitH3 Integrated Intensity,AVG DAPI Mean Intensity,SD of DAPI Mean Intensity,AVG DAPI Integrated Intensity,SD of DAPI Integrated Intensity,% Well Sampled,Analysis Setting
