Condition,Well
No Stain\n+ PMA,A1
No Stain\n- PMA,A2
No Stain\nCondition\n1,A3
No Stain\nCondition\n2,A4
No Stain\nCondition\n3,A5
NA,A6
NA,A7
NA,A8
NA,A9
NA,A10
NA,A11
NA,A12
+ PMA,B1
- PMA,B2
Condition\n1,B3
Condition\n2,B4
Condition\n3,B5
NA,B6
NA,B7
NA,B8
NA,B9
NA,B10
NA,B11
NA,B12
+ PMA,C1
- PMA,C2
Condition\n1,C3
Condition\n2,C4
Condition\n3,C5
NA,C6
NA,C7
NA,C8
NA,C9
NA,C10
NA,C11
NA,C12
+ PMA,D1
- PMA,D2
Condition\n1,D3
Condition\n2,D4
Condition\n3,D5
NA,D6
NA,D7
NA,D8
NA,D9
NA,D10
NA,D11
NA,D12
NA,E1
NA,E2
NA,E3
NA,E4
NA,E5
NA,E6
NA,E7
NA,E8
NA,E9
NA,E10
NA,E11
NA,E12
NA,F1
NA,F2
NA,F3
NA,F4
NA,F5
NA,F6
NA,F7
NA,F8
NA,F9
NA,F10
NA,F11
NA,F12
NA,G1
NA,G2
NA,G3
NA,G4
NA,G5
NA,G6
NA,G7
NA,G8
NA,G9
NA,G10
NA,G11
NA,G12
NA,H1
NA,H2
NA,H3
NA,H4
NA,H5
NA,H6
NA,H7
NA,H8
NA,H9
NA,H10
NA,H11
NA,H12
